Id, Reference, URI, Description
"External exposure","Adapted from (US EPA et al. 2008)","","Contact between a substance and a target that takes place in a specific exposure frequency for a defined exposure duration over an exposure period, at an external exposure surface, i.e. an exposure surface located before an absorption barrierepithelia (inner or outer surfaces) (see: Exposure surface, external exposure surface)."
"Intake","From (Heinemeyer et al. 2022)","","The process by which a substance crosses the outer boundary of an organism without passing an absorption barrier (e.g., through ingestion or inhalation) (US-EPA, 2011)."
"Intake fraction","From (Heinemeyer et al. 2022)","","Fraction of chemical mass emitted into the environment that eventually passes into an individual or a population through intake (i.e., inhalation or ingestion) or dermal absorption."
"Internal exposure","Adapted from (US EPA et al. 2008), and (IPCS and IOMC 2004)","","The amount of substance that passes through an absorption barrier and reaches a targeted biological matrix. These include, for example, exposure of urine, blood, or even of specific organs."
"Living environments","From PARC A6.2.1","","Environments where activities that are likely to expose humans to chemicals take place. A distinction is made between the occupational environment and the living environment outside of work, which is called the general environment. The exposure sources of the general environment are food, drinking water; exposure sources of the outdoor environment: outdoor air, water, lands, and other types of outdoor media; exposure sources of the indoor environment: indoor air, dust; and finally exposure sources of all types of environments encountered outside the workplace, generally related to the use of consumer products."
"Long-term exposure or chronic exposure","Adapted from (Heinemeyer et al. 2022)","","Continuous exposure, or multiple exposures, occurring over an extended period of time or a significant fraction of the organism's lifetime (US-EPA 2011)."
"Multiple chemical aggregate exposure assessment","From PARC A6.2.1","","Exposure assessment to multiple substances from multiple sources (i.e.: water, air, dust diet, etc.) and via multiple routes (ingestion, inhalation, dermal contact). This includes the exposure related both to general life and occupational activities."
"RPF (Relative Potency Factor)","From PARC A6.2.3","","Approach uses toxicity data for an index chemical in a group of multiple chemicals “to determine potency-adjusted concentration or exposure data for chemicals in the mixture” assuming dose-addition of the individual chemicals in the mixture (EFSA et al., 2019b)."
"Short-term exposure or acute exposure","Adapted from (Heinemeyer et al. 2022)","","Short-term exposures are usually characterized as lasting no longer than a day, as compared to longer, continuing exposure over a period of time."
"Target Population","From (Heinemeyer et al. 2022)","","Group or subgroup of human or environmental populations defined by a particular physiological status (species, age-range and gender, disease status). Because of their particular physiological status, pregnant and lactating women are specific target populations."
"Uptake or Absorption","Adapted from (Heinemeyer et al. 2022)","","The process by which a substance crosses an absorption barrier and is absorbed into the body (US-EPA, 2011)."
